ID;Label
D2-126;Meta
D2-127;Human
D2-128;Anthropic
D2-129;Meta
D2-130;Google
D2-131;Meta
D2-132;Human
D2-133;Anthropic
D2-134;Meta
D2-135;Google
D2-136;Human
D2-137;Google
D2-138;Human
D2-139;Human
D2-140;Meta
D2-141;Anthropic
D2-142;Human
D2-143;Human
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
D3-76;Anthropic
D3-77;Human
D3-78;OpenAI
D3-79;Meta
D3-80;Meta
D3-81;Anthropic
D3-82;Google
D3-83;Meta
D3-84;OpenAI
D3-85;Human
D3-86;Human
D3-87;Human
D3-88;Human
D3-89;Human
D3-90;Google
D3-91;Google
D3-92;OpenAI
D3-93;Meta
D3-94;OpenAI
D3-95;Human
D3-96;Meta
D3-97;Meta
D3-98;Google
D3-99;OpenAI
D3-100;Human
D4-1;Human
D4-2;OpenAI
D4-3;Google
D4-4;Human
D4-5;OpenAI
D4-6;Human
D4-7;OpenAI
D4-8;Human
D4-9;Human
D4-10;Human
D4-11;Google
D4-12;Human
D4-13;Meta
D4-14;Human
D4-15;OpenAI
D4-16;Human
D4-17;Anthropic
D4-18;Human
D4-19;Meta
D4-20;Google
D4-21;Meta
D4-22;OpenAI
D4-23;OpenAI
D4-24;Google
D4-25;Human
D4-26;Anthropic
D4-27;Anthropic
D4-28;Meta
D4-29;OpenAI
D4-30;Meta
D4-31;Google
D4-32;Human
D4-33;Anthropic
D4-34;Human
D4-35;OpenAI
D4-36;Meta
D4-37;Anthropic
D4-38;Human
D4-39;Google
D4-40;Meta
D4-41;Google
D4-42;OpenAI
D4-43;Meta
D4-44;Google
D4-45;Human
D4-46;Meta
D4-47;Anthropic
D4-48;Anthropic
D4-49;Google
D4-50;Meta
D4-51;Meta
D4-52;Google
D4-53;Human
D4-54;Anthropic
D4-55;Human
D4-56;Google
D4-57;Anthropic
D4-58;Anthropic
D4-59;OpenAI
D4-60;Meta
D4-61;Human
D4-62;OpenAI
D4-63;OpenAI
D4-64;Human
D4-65;Anthropic
D4-66;Meta
D4-67;Human
D4-68;Human
D4-69;Meta
D4-70;Anthropic
D4-71;Human
D4-72;Anthropic
D4-73;Google
D4-74;Human
D4-75;Google
D4-76;Meta
D4-77;Meta
D4-78;OpenAI
D4-79;Anthropic
D4-80;Anthropic
D4-81;Meta
D4-82;Meta
D4-83;Human
D4-84;Human
D4-85;OpenAI
D4-86;Google
D4-87;Meta
D4-88;Anthropic
D4-89;Human
D4-90;Human
D4-91;Meta
D4-92;Google
D4-93;Human
D4-94;OpenAI
D4-95;Meta
D4-96;Meta
D4-97;Google
D4-98;OpenAI
D4-99;Human
D4-100;Human
