ID;Label
D2-1;OpenAI
D2-2;OpenAI
D2-3;Meta
D2-4;OpenAI
D2-5;OpenAI
D2-6;OpenAI
D2-7;OpenAI
D2-8;Human
D2-9;OpenAI
D2-10;Human
D2-11;Google
D2-12;Human
D2-13;Human
D2-14;Human
D2-15;Human
D2-16;Human
D2-17;OpenAI
D2-18;Human
D2-19;Human
D2-20;Human
D2-21;Anthropic
D2-22;Anthropic
D2-23;OpenAI
D2-24;Meta
D2-25;Meta
D2-26;OpenAI
D2-27;Meta
D2-28;Human
D2-29;Human
D2-30;Human
D2-31;Meta
D2-32;Meta
D2-33;Meta
D2-34;Meta
D2-35;Meta
D2-36;Meta
D2-37;OpenAI
D2-38;Human
D2-39;Meta
D2-40;Anthropic
D2-41;Google
D2-42;OpenAI
D2-43;Human
D2-44;OpenAI
D2-45;Meta
D2-46;OpenAI
D2-47;OpenAI
D2-48;OpenAI
D2-49;OpenAI
D2-50;OpenAI
D2-51;Anthropic
D2-52;OpenAI
D2-53;Anthropic
D2-54;Anthropic
D2-55;Meta
D2-56;Meta
D2-57;OpenAI
D2-58;OpenAI
D2-59;OpenAI
D2-60;Human
D2-61;Anthropic
D2-62;OpenAI
D2-63;Anthropic
D2-64;Human
D2-65;OpenAI
D2-66;Human
D2-67;Meta
D2-68;Google
D2-69;Meta
D2-70;Meta
D2-71;OpenAI
D2-72;Meta
D2-73;OpenAI
D2-74;Human
D2-75;Human
D2-76;Human
D2-77;Meta
D2-78;OpenAI
D2-79;Meta
D2-80;Google
D2-81;Human
D2-82;Google
D2-83;Google
D2-84;Anthropic
D2-85;Google
D2-86;Human
D2-87;OpenAI
D2-88;Meta
D2-89;OpenAI
D2-90;OpenAI
D2-91;Human
D2-92;Human
D2-93;OpenAI
D2-94;OpenAI
D2-95;OpenAI
D2-96;Google
D2-97;OpenAI
D2-98;Human
D2-99;OpenAI
D2-100;Human
D2-101;OpenAI
D2-102;Human
D2-103;Human
D2-104;Human
D2-105;OpenAI
D2-106;OpenAI
D2-107;Meta
D2-108;Human
D2-109;Human
D2-110;Human
D2-111;OpenAI
D2-112;Human
D2-113;OpenAI
D2-114;Meta
D2-115;OpenAI
D2-116;Meta
D2-117;Meta
D2-118;Meta
D2-119;Human
D2-120;OpenAI
D2-121;Anthropic
D2-122;OpenAI
D2-123;Meta
D2-124;Human
D2-125;Meta
D2-126;Meta
D2-127;Human
D2-128;Human
D2-129;OpenAI
D2-130;Human
D2-131;OpenAI
D2-132;OpenAI
D2-133;OpenAI
D2-134;Meta
D2-135;Meta
D2-136;OpenAI
D2-137;Meta
D2-138;Human
D2-139;Human
D2-140;OpenAI
D2-141;OpenAI
D2-142;Human
D2-143;OpenAI
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
