ID;Label
D2-101;Human
D2-102;Human
D2-103;Human
D2-104;Human
D2-105;OpenAI
D2-106;Google
D2-107;Google
D2-108;OpenAI
D2-109;Google
D2-110;Human
D2-111;Human
D2-112;Google
D2-113;Human
D2-114;Google
D2-115;Google
D2-116;OpenAI
D2-117;OpenAI
D2-118;Anthropic
D2-119;Human
D2-120;Meta
D2-121;Human
D2-122;Human
D2-123;OpenAI
D2-124;Human
D2-125;Google
D2-126;Human
D2-127;Anthropic
D2-128;Human
D2-129;Human
D2-130;Google
D2-131;Meta
D2-132;Google
D2-133;Google
D2-134;Meta
D2-135;Google
D2-136;Human
D2-137;Google
D2-138;Human
D2-139;Human
D2-140;Google
D2-141;Meta
D2-142;Human
D2-143;Human
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
D3-1;Google
D3-2;Human
D3-3;Anthropic
D3-4;Google
D3-5;Anthropic
D3-6;Google
D3-7;Google
D3-8;Google
D3-9;OpenAI
D3-10;Human
D3-11;Human
D3-12;Meta
D3-13;OpenAI
D3-14;Google
D3-15;Human
D3-16;Human
D3-17;Human
D3-18;Meta
D3-19;Human
D3-20;Human
D3-21;Human
D3-22;Human
D3-23;Human
D3-24;Human
D3-25;Human
D3-26;Human
D3-27;Google
D3-28;Human
D3-29;OpenAI
D3-30;Google
D3-31;Human
D3-32;Google
D3-33;OpenAI
D3-34;Google
D3-35;Human
D3-36;Google
D3-37;Human
D3-38;Google
D3-39;Human
D3-40;OpenAI
D3-41;Google
D3-42;Google
D3-43;Google
D3-44;Human
D3-45;Anthropic
D3-46;Google
D3-47;OpenAI
D3-48;Human
D3-49;Google
D3-50;Google
D3-51;Human
D3-52;Anthropic
D3-53;OpenAI
D3-54;Human
D3-55;Meta
D3-56;Anthropic
D3-57;Google
D3-58;OpenAI
D3-59;Google
D3-60;Google
D3-61;Human
D3-62;Google
D3-63;Google
D3-64;Human
D3-65;Meta
D3-66;Google
D3-67;Human
D3-68;Google
D3-69;Google
D3-70;Meta
D3-71;Human
D3-72;OpenAI
D3-73;Google
D3-74;Google
D3-75;Google
D3-76;Google
D3-77;Human
D3-78;OpenAI
D3-79;Google
D3-80;Meta
D3-81;Human
D3-82;Google
D3-83;Google
D3-84;OpenAI
D3-85;Human
D3-86;Human
D3-87;Human
D3-88;Human
D3-89;Human
D3-90;Human
D3-91;Google
D3-92;Human
D3-93;Anthropic
D3-94;OpenAI
D3-95;Human
D3-96;Human
D3-97;Meta
D3-98;Google
D3-99;OpenAI
D3-100;Human
