Text,Label
"Mitochondria are double-membraned organelles that function as the primary site of aerobic respiration in eukaryotic cells. The inner mitochondrial membrane is extensively folded into cristae, which increase surface area for oxidative phosphorylation. Within this membrane, electron transport chain complexes transfer electrons derived from NADH and FADH₂ to molecular oxygen, generating a proton gradient across the inner membrane. This electrochemical gradient drives ATP synthesis via ATP synthase through chemiosmosis. The mitochondrial matrix hosts the citric acid cycle, where acetyl-CoA is oxidised to produce high-energy electron carriers. Overall, mitochondria convert biochemical energy stored in nutrients into adenosine triphosphate, the cell’s primary energy currency.",OpenAI
"The role of mitochondria in cellular respiration centres on their ability to efficiently harvest energy from organic molecules. Pyruvate, produced during glycolysis in the cytosol, is transported into the mitochondrial matrix and converted into acetyl-CoA, entering the citric acid cycle. This cycle generates reduced coenzymes that donate electrons to the electron transport chain embedded in the inner membrane. As electrons move through protein complexes, protons are pumped into the intermembrane space, creating a gradient. The return flow of protons through ATP synthase drives phosphorylation of ADP to ATP. Oxygen acts as the final electron acceptor, forming water and maintaining electron flow.",OpenAI
"Mitochondria play a central role in cellular energy metabolism by coupling oxidation-reduction reactions to ATP production. The organelle’s compartmentalisation allows distinct processes, such as the citric acid cycle in the matrix and oxidative phosphorylation in the inner membrane, to occur efficiently. Electrons released from metabolic intermediates are transferred through a series of carriers, releasing energy used to pump protons across the membrane. This establishes a proton motive force that powers ATP synthase. Additionally, mitochondria regulate apoptosis and metabolic signalling, highlighting their broader importance beyond ATP generation. Their function is essential for sustaining energy-demanding cellular activities.",OpenAI
"DNA replication begins at specific genomic regions called origins of replication, where initiator proteins recognise and bind to DNA sequences, causing local unwinding of the double helix. Helicase enzymes further separate the strands, creating replication forks and exposing single-stranded templates. Single-strand binding proteins stabilise these regions, preventing reannealing. Primase synthesises short RNA primers, providing a free 3′ hydroxyl group for DNA polymerase to initiate synthesis. DNA polymerase extends the new strand by adding complementary nucleotides in a 5′ to 3′ direction. Replication proceeds bidirectionally, ensuring accurate duplication of genetic material prior to cell division.",OpenAI
"The process of DNA replication is semi-conservative, meaning each daughter molecule contains one parental strand and one newly synthesised strand. After helicase unwinds the DNA, leading and lagging strands are synthesised differently due to antiparallel strand orientation. The leading strand is synthesised continuously toward the replication fork, while the lagging strand is synthesised discontinuously in short fragments known as Okazaki fragments. DNA polymerase I removes RNA primers and replaces them with DNA, and DNA ligase seals the nicks between fragments. High fidelity is maintained through proofreading activity, minimising replication errors and preserving genomic integrity.",OpenAI
"Initiation of DNA replication involves the assembly of a complex of proteins at the origin, forming a replication bubble. Helicases unwind the DNA, while topoisomerases relieve torsional strain caused by supercoiling. DNA polymerases require a primer to begin synthesis and extend nucleotides based on base-pairing rules. The lagging strand is synthesised in fragments that are later joined, ensuring complete replication despite directional constraints. The process is tightly regulated to occur once per cell cycle, preventing over-replication. Accessory proteins enhance processivity and coordination, allowing rapid and efficient duplication of large genomes in eukaryotic cells.",OpenAI
"Ribosomes are ribonucleoprotein complexes responsible for translating messenger RNA into polypeptide chains. They consist of a large and a small subunit, each composed of ribosomal RNA and proteins. During translation initiation, the small subunit binds to mRNA and identifies the start codon, while the initiator tRNA carrying methionine pairs with it. The large subunit then assembles to form a functional ribosome. As translation proceeds, tRNAs deliver amino acids to the ribosome, matching anticodons to mRNA codons. Peptide bonds are formed by the peptidyl transferase activity of rRNA, elongating the growing polypeptide chain.",OpenAI
"The function of ribosomes in protein synthesis involves decoding genetic information and catalysing peptide bond formation. Ribosomes move along the mRNA in a 5′ to 3′ direction, reading codons sequentially. Each codon specifies a particular amino acid, which is delivered by a corresponding tRNA molecule. The ribosome contains three sites—A, P, and E—that coordinate tRNA binding, peptide bond formation, and exit. The growing polypeptide chain is transferred from one tRNA to another as elongation progresses. Upon reaching a stop codon, release factors promote termination, and the completed protein is released for folding and further modification.",OpenAI
"Ribosomes ensure accurate protein synthesis by coupling codon recognition with enzymatic activity. The structure of the ribosome facilitates precise alignment of mRNA and tRNA molecules, enabling efficient translation. Ribosomal RNA plays a catalytic role, demonstrating that RNA can function as an enzyme. Translation occurs in three stages: initiation, elongation, and termination, each regulated by specific factors. The fidelity of translation is maintained through correct codon-anticodon pairing and kinetic proofreading. Ribosomes can exist freely in the cytosol or be bound to the endoplasmic reticulum, influencing the destination and function of the proteins they produce.",OpenAI
"The immune system recognises foreign antigens through specialised receptors expressed on immune cells. Antigens are molecular structures, often proteins or polysaccharides, that are identified as non-self. B cells possess membrane-bound antibodies that bind directly to antigens, while T cells recognise processed antigen fragments presented by major histocompatibility complex molecules on antigen-presenting cells. This recognition triggers activation and proliferation of lymphocytes. The specificity of antigen recognition arises from the vast diversity of receptor structures generated through genetic recombination. This enables the immune system to detect and respond to a wide range of pathogens.",OpenAI
"Recognition of foreign antigens involves both innate and adaptive immune mechanisms. Innate immune cells, such as macrophages and dendritic cells, use pattern recognition receptors to detect conserved microbial features. These cells process antigens and present them on their surface via MHC molecules, facilitating activation of T lymphocytes. Helper T cells coordinate immune responses by releasing cytokines, while cytotoxic T cells directly eliminate infected cells. B cells, upon antigen binding and activation, differentiate into plasma cells that secrete antibodies. This coordinated recognition and response ensure effective elimination of pathogens while maintaining self-tolerance.",OpenAI
"The adaptive immune system relies on highly specific antigen recognition mediated by lymphocyte receptors. T cell receptors recognise peptide fragments bound to MHC molecules, whereas B cell receptors bind intact antigens. Clonal selection ensures that only lymphocytes with receptors specific to the antigen proliferate. Following activation, these cells differentiate into effector and memory cells, providing immediate defence and long-term immunity. Antigen recognition also involves co-stimulatory signals that prevent inappropriate activation. This complex system allows precise discrimination between self and non-self, reducing the risk of autoimmune responses while enabling targeted pathogen elimination.",OpenAI
"CRISPR-Cas9 gene editing is a molecular tool derived from a bacterial adaptive immune system that allows precise modification of DNA sequences. The system uses a guide RNA molecule to direct the Cas9 nuclease to a specific genomic location by base pairing with a complementary DNA sequence. Once bound, Cas9 introduces a double-strand break at the target site. The cell’s natural DNA repair mechanisms, such as non-homologous end joining or homology-directed repair, then act to repair the break. This process can result in gene disruption or the insertion of new genetic material, enabling targeted genome editing.",OpenAI
"The mechanism of CRISPR-Cas9 relies on sequence-specific targeting guided by RNA-DNA complementarity. The guide RNA forms a complex with the Cas9 protein and scans the genome for a matching sequence adjacent to a protospacer adjacent motif. Upon recognition, Cas9 unwinds the DNA and cleaves both strands, generating a break. Repair pathways determine the outcome of editing; error-prone repair can introduce mutations, while template-guided repair allows precise modifications. This technology has revolutionised genetic engineering by providing a simple, efficient, and versatile method for manipulating genes across a wide range of organisms.",OpenAI
"CRISPR-Cas9 operates through a programmable nuclease system that can be tailored to target virtually any DNA sequence. The specificity of the system depends on the design of the guide RNA, which directs Cas9 to the desired genomic locus. After cleavage, cellular repair pathways introduce changes that can knock out genes or incorporate new sequences. The efficiency and accessibility of CRISPR have made it a powerful tool in research, biotechnology, and medicine. Ongoing developments aim to improve accuracy and reduce off-target effects, enhancing its potential for therapeutic applications and functional genomics studies.",OpenAI
